vid,id,product_id,body,rate,done
3,43838571,6909055,اصلا به بلوتوث وصل نمیشه نمیشه ساعتش را تنظیم کرد افتضاح ,1,f
6,43831255,6909055,یه چیزی فرستادین که فقط روشن میشه و بعد چند ثانیه هنگ میکنه و خاموش میشه،امان از این همه حرامخوری,1,f
8,43826435,6909055,سلام یکی از دکمه هاش کار نمی کنه ,1,f
9,43822870,6909055,کالای نورد قبولی هستش؛ نسبت به قیمت واقعا عالی هست،در کل مناسب هست و من راضی ام.,0,f
10,43816708,6909055,عالیییی بود فقط اول کار شارژ نداشت,5,f
12,43815124,6909055,خیلی ممنون از شما ,5,f
14,43812902,6909055,در کل محصول خوبیه برا کسایکه همین قدر سرمایه دارن,5,f
18,43794469,6909055,عالی,1,f
19,43793399,6909055,خیلی خوشم اومد پیشنهاد میکنم ,5,f
21,43815386,9424170,من موقع گرانی خریدم ولی راضی هستم خیلی ساعت با کیفیت هستش,5,f
22,43624574,9424170,حدود دو هفته است که از این ساعت استفاده میکنم. ساعتی با کیفیت ساخت عالی و طراحی ممتاز و چشم نواز است. دارای کاربردها و حسگرهای مفیدی است (موجود در سایر مدلهای اپل واچ نیز : همچون سنجش درصد اکسیژن خون، نوار قلبی، تشخیص آریتمی قلبی و پایش دمای بدن ) می باشد که متاسفانه بسیاری از آنها در ایران کار نمیکنند. برای ورزشکاران حرفه ای با توجه به کیفیت ساخت ، نیز دقت بالای ردیاب GPS آن و نیز  حفظ کارکرد در شرایطی همچون دماهای بسیار پایین یا اعماق آب و ...)، وسیله ای کاربردی تر است. در کل ساعتهای هوشمند اپل با پایش عملکردهای فیزیکی و تحرک بدن، مشوقهای خوبی برای افزایش فعالیت فیزیکی هستند. اگر بتوانید از کیفیت ساخت و طراحی متمایز آن چشم پوشی کنید، سایر مدلهای اپل واچ (بویژه سری 5 و بالاتر)، دارای عملکردهای عمومی تقریبا یکسانی هستند و شاید خرید آنها منطقی تر باشد.,5,f
24,43500631,9424170,ساعت عالی هست ولی جعبه ای که فرستاده می‌شود خراب است,4,f
